Bruiguirea Gymnorrhiza (Dogo),Bruiguirea Gymnorrhiza (Dogo)
Rhizophora Stylosa (Tiri),Rhizophora Stylosa (Tiri)
Rihizophora Samoensis (Tiri wai),Rihizophora Samoensis (Tiri wai)
Lumnitzera Littorea (Sagali),Lumnitzera Littorea (Sagali)
R.x selala – Cross between Rhizophora stylosa and R.samoensis (Selala),R.x selala – Cross between Rhizophora stylosa and R.samoensis (Selala)
Xylocarpus granatum (Dabi),Xylocarpus granatum (Dabi)
Xylocarpus moluccensis (Dabi),Xylocarpus moluccensis (Dabi)
Excoecaria agallocha (Sinu),Excoecaria agallocha (Sinu)
Heritiera littoralis (Kedra Ivi na Yalewa Kalou),Heritiera littoralis (Kedra Ivi na Yalewa Kalou)
Acrostichum auruem (Borete),Acrostichum auruem (Borete)
Pandanus Pyriformis (Vauvau),Pandanus Pyriformis (Vauvau)
Hibiscus Tiliaceus (Vau),Hibiscus Tiliaceus (Vau)
Barringtonia Asciatia (Vutu Rakaraka),Barringtonia Asciatia (Vutu Rakaraka)
Hernandia Numphaeifolia (Evu Evu),Hernandia Numphaeifolia (Evu Evu)
Coco nucifera (Niu),Coco nucifera (Niu)
Calophyllum inophyllum (Dilo),Calophyllum inophyllum (Dilo)
Pandanus tectorius (Vadra),Pandanus tectorius (Vadra)
Terminalia Catappa (Tavola),Terminalia Catappa (Tavola)
Excoecaria agollocha (Sinu),Excoecaria agollocha (Sinu)
Hibiscus tiliaceus (Vau),Hibiscus tiliaceus (Vau)
Morinda citrifolia (Kura),Morinda citrifolia (Kura)
Barringtonia asiatica (Vutu),Barringtonia asiatica (Vutu)
Acacia simplex (Takakia),Acacia simplex (Takakia)
Cordia subcordata (Nawanawa),Cordia subcordata (Nawanawa)
